Fecha;IPP
06-1999;49.29
07-1999;50.14
08-1999;50.93
09-1999;51.67
10-1999;52.16
11-1999;52.64
12-1999;52.97
01-2000;53.71
02-2000;54.71
03-2000;55.45
04-2000;56.35
05-2000;56.64
06-2000;57.00
07-2000;57.60
08-2000;57.89
09-2000;58.36
10-2000;58.37
11-2000;58.44
12-2000;58.82
01-2001;59.87
02-2001;60.93
03-2001;61.51
04-2001;62.40
05-2001;62.91
06-2001;62.76
07-2001;62.80
08-2001;62.99
09-2001;63.04
10-2001;62.79
11-2001;62.71
12-2001;62.89
01-2002;63.16
02-2002;63.35
03-2002;63.70
04-2002;63.94
05-2002;64.38
06-2002;64.61
07-2002;65.21
08-2002;66.00
09-2002;67.30
10-2002;68.40
11-2002;68.36
12-2002;68.73
01-2003;69.50
02-2003;70.37
03-2003;71.01
04-2003;71.78
05-2003;71.82
06-2003;71.68
07-2003;71.83
08-2003;71.95
09-2003;71.92
10-2003;72.04
11-2003;72.41
12-2003;72.66
01-2004;73.16
02-2004;73.86
03-2004;74.26
04-2004;74.74
05-2004;75.62
06-2004;75.89
07-2004;75.59
08-2004;75.66
09-2004;75.89
10-2004;76.22
11-2004;76.38
12-2004;76.03
01-2005;76.40
02-2005;77.04
03-2005;77.92
04-2005;77.84
05-2005;77.89
06-2005;77.97
07-2005;77.89
08-2005;77.87
09-2005;77.56
10-2005;77.91
11-2005;77.75
12-2005;77.61
01-2006;78.18
02-2006;78.31
03-2006;79.05
04-2006;80.42
05-2006;81.01
06-2006;81.69
07-2006;82.00
08-2006;82.00
09-2006;82.19
10-2006;82.02
11-2006;81.82
12-2006;81.91
01-2007;82.07
02-2007;82.18
03-2007;82.41
04-2007;82.28
05-2007;81.53
06-2007;80.87
07-2007;80.48
08-2007;80.66
09-2007;81.44
10-2007;81.53
11-2007;82.14
12-2007;82.95
01-2008;83.91
02-2008;85.38
03-2008;85.18
04-2008;85.38
05-2008;85.93
06-2008;87.31
07-2008;88.21
08-2008;87.92
09-2008;89.41
10-2008;91.16
11-2008;91.14
12-2008;90.41
01-2009;89.09
02-2009;90.69
03-2009;90.97
04-2009;90.98
05-2009;90.48
06-2009;89.70
07-2009;89.43
08-2009;88.81
09-2009;88.07
10-2009;87.44
11-2009;87.61
12-2009;88.43
01-2010;89.52
02-2010;90.29
03-2010;90.81
04-2010;91.24
05-2010;91.69
06-2010;91.61
07-2010;91.06
08-2010;90.57
09-2010;90.07
10-2010;89.76
11-2010;90.81
12-2010;92.30
01-2011;93.39
02-2011;94.45
03-2011;95.33
04-2011;95.53
05-2011;96.11
06-2011;95.94
07-2011;95.40
08-2011;95.45
09-2011;96.10
10-2011;97.11
11-2011;97.25
12-2011;97.39
01-2012;96.90
02-2012;97.03
03-2012;96.82
04-2012;97.02
05-2012;96.88
06-2012;95.27
07-2012;95.10
08-2012;95.57
09-2012;96.20
10-2012;96.01
11-2012;95.21
12-2012;94.51
01-2013;94.46
02-2013;94.63
03-2013;94.98
04-2013;94.68
05-2013;94.86
06-2013;95.08
07-2013;95.08
08-2013;95.08
09-2013;94.93
10-2013;94.19
11-2013;93.95
12-2013;94.05
01-2014;94.68
02-2014;95.83
03-2014;97.47
04-2014;97.89
05-2014;97.77
06-2014;97.44
07-2014;97.22
08-2014;97.89
09-2014;98.40
10-2014;98.84
11-2014;98.76
12-2014;100.00
01-2015;100.70
02-2015;100.61
03-2015;102.45
04-2015;102.10
05-2015;101.42
06-2015;102.32
07-2015;103.48
08-2015;105.77
09-2015;106.96
10-2015;106.94
11-2015;107.59
12-2015;109.57
01-2016;110.77
02-2016;111.68
03-2016;111.22
04-2016;110.86
05-2016;111.52
06-2016;112.18
07-2016;112.15
08-2016;110.94
09-2016;110.58
10-2016;110.66
11-2016;111.80
12-2016;111.34
01-2017;111.74
02-2017;111.50
03-2017;111.83
04-2017;111.29
05-2017;111.33
06-2017;111.24
07-2017;111.81
08-2017;112.00
09-2017;111.88
10-2017;112.19
11-2017;113.26
12-2017;113.41
01-2018;113.31
02-2018;113.57
03-2018;113.68
04-2018;113.43
05-2018;114.46
06-2018;114.67
07-2018;114.55
08-2018;114.74
09-2018;116.10
10-2018;116.93
11-2018;117.02
12-2018;116.91
01-2019;117.18
02-2019;117.38
03-2019;117.82
04-2019;118.86
05-2019;120.19
06-2019;119.76
07-2019;120.73
08-2019;121.60
09-2019;122.23
10-2019;122.56
11-2019;122.31
12-2019;122.36
01-2020;122.34
02-2020;122.34
03-2020;123.27
04-2020;122.59
05-2020;122.50
06-2020;122.59
07-2020;122.76
08-2020;123.54
09-2020;123.70
10-2020;124.42
11-2020;124.31
12-2020;124.38
01-2021;126.36
02-2021;128.63
03-2021;131.18
04-2021;132.98
05-2021;136.23
06-2021;136.95
07-2021;138.22
08-2021;139.63
09-2021;140.81
10-2021;142.86
11-2021;145.69
12-2021;147.55
01-2022;153.41
02-2022;157.66
03-2022;161.18
04-2022;163.99
05-2022;166.51
06-2022;166.99
07-2022;170.63
08-2022;169.68
09-2022;170.90
10-2022;174.57
11-2022;176.35
12-2022;175.85
01-2023;179.15
02-2023;181.23
03-2023;181.36
