Fecha;TRM
2024-08;4062.98
2024-07;4036.80
2024-06;4054.56
2024-05;3865.09
2024-04;3866.12
2024-03;3908.67
2024-02;3931.85
2024-01;3920.20
2023-12;3954.14
2023-11;4040.26
2023-10;4219.16
2023-09;4008.41
2023-08;4066.87
2023-07;4067.63
2023-06;4213.53
2023-05;4539.54
2023-04;4526.03
2023-03;4760.96
2023-02;4802.75
2023-01;4712.18
2022-12;4787.89
2022-11;4922.30
2022-10;4714.96
2022-09;4437.31
2022-08;4326.77
2022-07;4394.01
2022-06;3922.50
2022-05;4027.60
2022-04;3796.39
2022-03;3805.52
2022-02;3938.36
2022-01;4000.72
2021-12;3967.77
2021-11;3900.51
2021-10;3771.68
2021-09;3820.28
2021-08;3887.68
2021-07;3832.24
2021-06;3693.00
2021-05;3741.96
2021-04;3651.85
2021-03;3617.00
2021-02;3552.43
2021-01;3494.53
2020-12;3468.50
2020-11;3680.67
2020-10;3833.06
2020-09;3749.86
2020-08;3788.10
2020-07;3660.60
2020-06;3693.00
2020-05;3863.34
2020-04;3986.56
2020-03;3870.01
2020-02;3408.24
2020-01;3317.37
2019-12;3383.00
2019-11;3411.42
2019-10;3437.73
2019-09;3399.62
2019-08;3412.65
2019-07;3208.11
2019-06;3256.02
2019-05;3310.49
2019-04;3155.22
2019-03;3125.34
2019-02;3115.15
2019-01;3161.91
2018-12;3212.48
2018-11;3198.13
2018-10;3080.48
2018-09;3037.80
2018-08;2959.57
2018-07;2885.55
2018-06;2893.22
2018-05;2862.95
2018-04;2765.96
2018-03;2852.46
2018-02;2860.00
2018-01;2867.68
2017-12;2991.42
2017-11;3013.17
2017-10;2955.06
2017-09;2918.49
2017-08;2972.62
2017-07;3038.76
2017-06;2958.36
2017-05;2924.00
2017-04;2873.55
2017-03;2943.49
2017-02;2881.68
2017-01;2944.65
2016-12;3009.53
2016-11;3106.40
2016-10;2932.61
2016-09;2921.15
2016-08;2963.82
2016-07;2963.99
2016-06;2991.68
2016-05;2988.38
2016-04;2998.71
2016-03;3145.26
2016-02;3357.50
2016-01;3284.03
2015-12;3244.51
2015-11;2996.67
2015-10;2937.85
2015-09;3073.12
2015-08;3023.29
2015-07;2731.90
2015-06;2554.94
2015-05;2439.09
2015-04;2495.36
2015-03;2586.58
2015-02;2420.38
2015-01;2397.69
2014-12;2344.23
2014-11;2127.25
2014-10;2047.03
2014-09;1971.34
2014-08;1899.07
2014-07;1858.40
2014-06;1888.10
2014-05;1915.46
2014-04;1939.27
2014-03;2022.19
2014-02;2040.51
2014-01;1960.41
2013-12;1934.08
2013-11;1922.14
2013-10;1885.91
2013-09;1919.40
