,Productos,Cantidad de energía demandada GWh,Cantidad de energía adjudicada GWh,Precio promedio ponderado adjudicado ($/KWh),periodo_inicio,periodo_fin,descripcion,union,CodigoConvocatoria,CodigoSicAgente,NombreAgenteComprador,FechaPublicacionAviso,PeriodoAContratar,FechaInicio,FechaFin,DuracionDias,meses,FechaPliegosParaConsulta,FechaPliegosDefinitivos,FechaLimiteRecepcionOfertas,AudienciaPublica,FechaMaximaFormalizacionContratos,Estado,TipoMercado,ExclusivaFNCER,FechaSuspension,FechaReactivacion,FechaCancelacion,FechaCierreConvocatoria
0,CP-EMIC2024-002-PROD01,,,,01/01/2025,31/12/2028,"EMCALI requiere contratar el suministro de energía eléctrica con destino al mercado regulado para el periodo comprendido entre el 1 de enero 2025 a 31 de diciembre del año 2028, de conformidad con las condiciones técnicas y comerciales que se describen en los presentes términos de referencia",CP-EMIC2024-002/EMCALI/EMIC/01%2F01%2F2025/31%2F12%2F2028/false/Regulado,,,,,,,,,,,,,,,,,,,,,
1,CP-EMIC2024-002-PROD02,1034.0,206.0,324.0,01/01/2025,31/12/2028,"EMCALI requiere contratar el suministro de energía eléctrica con destino al mercado regulado para el periodo comprendido entre el 1 de enero 2025 a 31 de diciembre del año 2028, de conformidad con las condiciones técnicas y comerciales que se describen en los presentes términos de referencia",CP-EMIC2024-002/EMCALI/EMIC/01%2F01%2F2025/31%2F12%2F2028/false/Regulado,,,,,,,,,,,,,,,,,,,,,
2,CP-EMIC2024-002-PROD03,,,,01/01/2025,31/12/2028,"EMCALI requiere contratar el suministro de energía eléctrica con destino al mercado regulado para el periodo comprendido entre el 1 de enero 2025 a 31 de diciembre del año 2028, de conformidad con las condiciones técnicas y comerciales que se describen en los presentes términos de referencia",CP-EMIC2024-002/EMCALI/EMIC/01%2F01%2F2025/31%2F12%2F2028/false/Regulado,,,,,,,,,,,,,,,,,,,,,
3,CP-CSSC2024-004-PROD01,0.0,0.0,0.0,01/08/2024,31/12/2037,Air-e esta interesado en recibir propuesta para el mercado regulado en periodo comprendido desde 1 de agosto de 2024 hasta 31 de Diciembre 2037.,CP-CSSC2024-004/Air-e/CSSC/01%2F08%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-004,CSSC,Air-e,30/05/2024,01/08/2024 al 31/12/2037,01/08/2024,31/12/2037,4900.0,161.0958904109589,30/05/2024,13/06/2024,21/06/2024,05/07/2024,17/07/2024,Cerrada y adjudicada,Regulado,NO,,,,25/07/2024
4,CP-CSSC2024-004-PROD02,175.0,18.0,356.0,01/08/2024,31/12/2037,Air-e esta interesado en recibir propuesta para el mercado regulado en periodo comprendido desde 1 de agosto de 2024 hasta 31 de Diciembre 2037.,CP-CSSC2024-004/Air-e/CSSC/01%2F08%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-004,CSSC,Air-e,30/05/2024,01/08/2024 al 31/12/2037,01/08/2024,31/12/2037,4900.0,161.0958904109589,30/05/2024,13/06/2024,21/06/2024,05/07/2024,17/07/2024,Cerrada y adjudicada,Regulado,NO,,,,25/07/2024
5,CP-CSSC2024-004-PROD03,0.0,0.0,0.0,01/08/2024,31/12/2037,Air-e esta interesado en recibir propuesta para el mercado regulado en periodo comprendido desde 1 de agosto de 2024 hasta 31 de Diciembre 2037.,CP-CSSC2024-004/Air-e/CSSC/01%2F08%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-004,CSSC,Air-e,30/05/2024,01/08/2024 al 31/12/2037,01/08/2024,31/12/2037,4900.0,161.0958904109589,30/05/2024,13/06/2024,21/06/2024,05/07/2024,17/07/2024,Cerrada y adjudicada,Regulado,NO,,,,25/07/2024
6,CP-CSSC2024-004-PROD04,0.0,0.0,0.0,01/08/2024,31/12/2037,Air-e esta interesado en recibir propuesta para el mercado regulado en periodo comprendido desde 1 de agosto de 2024 hasta 31 de Diciembre 2037.,CP-CSSC2024-004/Air-e/CSSC/01%2F08%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-004,CSSC,Air-e,30/05/2024,01/08/2024 al 31/12/2037,01/08/2024,31/12/2037,4900.0,161.0958904109589,30/05/2024,13/06/2024,21/06/2024,05/07/2024,17/07/2024,Cerrada y adjudicada,Regulado,NO,,,,25/07/2024
7,CP-CSSC2024-004-PROD05,0.0,0.0,0.0,01/08/2024,31/12/2037,Air-e esta interesado en recibir propuesta para el mercado regulado en periodo comprendido desde 1 de agosto de 2024 hasta 31 de Diciembre 2037.,CP-CSSC2024-004/Air-e/CSSC/01%2F08%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-004,CSSC,Air-e,30/05/2024,01/08/2024 al 31/12/2037,01/08/2024,31/12/2037,4900.0,161.0958904109589,30/05/2024,13/06/2024,21/06/2024,05/07/2024,17/07/2024,Cerrada y adjudicada,Regulado,NO,,,,25/07/2024
8,CP-CSSC2024-004-PROD06,0.0,0.0,0.0,01/08/2024,31/12/2037,Air-e esta interesado en recibir propuesta para el mercado regulado en periodo comprendido desde 1 de agosto de 2024 hasta 31 de Diciembre 2037.,CP-CSSC2024-004/Air-e/CSSC/01%2F08%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-004,CSSC,Air-e,30/05/2024,01/08/2024 al 31/12/2037,01/08/2024,31/12/2037,4900.0,161.0958904109589,30/05/2024,13/06/2024,21/06/2024,05/07/2024,17/07/2024,Cerrada y adjudicada,Regulado,NO,,,,25/07/2024
9,CP-CSSC2024-004-PROD07,0.0,0.0,0.0,01/08/2024,31/12/2037,Air-e esta interesado en recibir propuesta para el mercado regulado en periodo comprendido desde 1 de agosto de 2024 hasta 31 de Diciembre 2037.,CP-CSSC2024-004/Air-e/CSSC/01%2F08%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-004,CSSC,Air-e,30/05/2024,01/08/2024 al 31/12/2037,01/08/2024,31/12/2037,4900.0,161.0958904109589,30/05/2024,13/06/2024,21/06/2024,05/07/2024,17/07/2024,Cerrada y adjudicada,Regulado,NO,,,,25/07/2024
10,CP-CSSC2024-004-PROD08,0.0,0.0,0.0,01/08/2024,31/12/2037,Air-e esta interesado en recibir propuesta para el mercado regulado en periodo comprendido desde 1 de agosto de 2024 hasta 31 de Diciembre 2037.,CP-CSSC2024-004/Air-e/CSSC/01%2F08%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-004,CSSC,Air-e,30/05/2024,01/08/2024 al 31/12/2037,01/08/2024,31/12/2037,4900.0,161.0958904109589,30/05/2024,13/06/2024,21/06/2024,05/07/2024,17/07/2024,Cerrada y adjudicada,Regulado,NO,,,,25/07/2024
