Date,Close,Open,High,Low,Vol.,Change %
6/01/2023,1617.00,1429.50,1644.50,1429.50,0.02K,32.22%
5/01/2023,1223.00,1231.00,1595.50,1200.00,0.98K,-7.63%
4/01/2023,1324.00,1850.00,1930.00,1235.00,65.90K,-25.09%
3/01/2023,1767.50,1752.50,1852.00,1641.00,0.22K,-31.47%
2/01/2023,2579.00,2405.00,3008.00,2174.00,0.01K,-3.28%
1/01/2023,2666.50,2525.50,2828.50,2370.00,0.38K,7.26%
12/01/2022,2486.00,2840.00,2840.00,2345.50,44.00K,-25.39%
11/01/2022,3332.00,3080.00,3332.00,2649.50,0.01K,1.02%
10/01/2022,3298.50,3063.50,3720.50,2615.50,0.01K,20.32%
9/01/2022,2741.50,2140.00,2742.50,2102.00,0.51K,29.22%
8/01/2022,2121.50,2400.00,2400.00,2064.50,199.58K,-8.30%
7/01/2022,2313.50,2405.00,2573.50,2251.50,0.05K,-25.46%
6/01/2022,3103.50,3300.00,3300.00,2310.00,0.10K,-0.53%
5/01/2022,3120.00,3299.00,3340.00,2750.00,0.96K,4.35%
4/01/2022,2990.00,3155.00,3386.50,2915.00,50.17K,-20.07%
3/01/2022,3741.00,2750.00,3792.00,2750.00,0.04K,41.60%
2/01/2022,2642.00,2630.50,2766.00,2395.00,0.11K,-0.60%
1/01/2022,2658.00,2040.00,2851.00,2029.00,1.13K,29.44%
12/01/2021,2053.50,2798.00,2800.00,2010.00,14.10K,-20.53%
11/01/2021,2584.00,3600.00,3640.00,2332.50,0.81K,-28.38%
10/01/2021,3608.00,3750.00,3995.00,3320.00,3.73K,-4.14%
9/01/2021,3764.00,2993.00,3798.00,2920.00,23.80K,29.24%
8/01/2021,2912.50,2276.00,2992.50,1955.00,358.42K,37.22%
7/01/2021,2122.50,2270.00,2312.00,1895.00,2.43K,-4.76%
6/01/2021,2228.50,1497.00,2350.00,1497.00,4.52K,38.29%
5/01/2021,1611.50,1738.50,2034.50,1580.00,4.27K,0.09%
4/01/2021,1610.00,1858.00,1858.00,1580.00,478.61K,-5.96%
3/01/2021,1712.00,1455.00,1795.50,1455.00,1.34K,15.33%
2/01/2021,1484.50,1620.50,1780.00,1441.00,0.71K,-17.53%
1/01/2021,1800.00,1523.00,1855.00,1400.00,3.26K,19.96%
12/01/2020,1500.50,1554.50,1639.00,1475.00,270.57K,1.21%
11/01/2020,1482.50,1306.00,1565.50,1252.50,2.62K,11.09%
10/01/2020,1334.50,1315.00,1350.00,1269.00,0.12K,1.44%
9/01/2020,1315.50,1230.00,1391.00,1190.00,0.92K,7.13%
8/01/2020,1228.00,1254.00,1254.00,1164.50,269.18K,-4.55%
7/01/2020,1286.50,1255.50,1356.50,1255.50,0.02K,3.29%
6/01/2020,1245.50,1250.00,1266.00,1238.50,0.01K,5.11%
5/01/2020,1185.00,1249.50,1259.50,1185.00,1.97K,-4.01%
4/01/2020,1234.50,1250.00,1288.00,1187.00,41.54K,-7.08%
3/01/2020,1328.50,1379.50,1391.00,1207.50,0.01K,2.83%
2/01/2020,1292.00,1287.00,1292.00,1287.00,0.00K,1.49%
1/01/2020,1273.00,1220.00,1290.00,1135.00,8.14K,5.47%
12/01/2019,1207.00,1325.00,1325.00,1194.50,229.89K,-8.49%
11/01/2019,1319.00,1260.00,1356.50,1260.00,0.07K,1.77%
10/01/2019,1296.00,1279.00,1313.00,1279.00,0.00K,-0.27%
9/01/2019,1299.50,1470.00,1700.00,1276.00,0.93K,-8.45%
8/01/2019,1419.50,1392.00,1438.00,1389.00,151.88K,-3.20%
7/01/2019,1466.50,1428.00,1497.50,1358.00,0.55K,1.77%
6/01/2019,1441.00,1363.00,1513.50,1363.00,1.06K,12.05%
5/01/2019,1286.00,1166.00,1286.00,1135.00,0.60K,6.46%
4/01/2019,1208.00,1230.50,1237.00,1160.00,58.51K,-4.01%
3/01/2019,1258.50,1263.00,1337.50,1258.50,0.00K,-4.73%
2/01/2019,1321.00,1321.00,1321.00,1321.00,,-0.11%
1/01/2019,1322.50,1440.00,1490.50,1322.50,2.35K,-8.48%
