,Id,Value,Date
0,Sistema,11143407100.0,2020-01-01
1,Sistema,11128500500.0,2020-01-02
2,Sistema,11085096800.0,2020-01-03
3,Sistema,11029565400.0,2020-01-04
4,Sistema,10985194800.0,2020-01-05
5,Sistema,10936518600.0,2020-01-06
6,Sistema,10865509100.0,2020-01-07
7,Sistema,10794117600.0,2020-01-08
8,Sistema,10713759400.0,2020-01-09
9,Sistema,10627709400.0,2020-01-10
10,Sistema,10548177800.0,2020-01-11
11,Sistema,10480575500.0,2020-01-12
12,Sistema,10395453400.0,2020-01-13
13,Sistema,10313712700.0,2020-01-14
14,Sistema,10231492700.0,2020-01-15
15,Sistema,10100375200.0,2020-01-16
16,Sistema,10058410300.0,2020-01-17
17,Sistema,9984644600.0,2020-01-18
18,Sistema,9929190200.0,2020-01-19
19,Sistema,9857566700.0,2020-01-20
20,Sistema,9794731700.0,2020-01-21
21,Sistema,9742051900.0,2020-01-22
22,Sistema,9682472400.0,2020-01-23
23,Sistema,9614884300.0,2020-01-24
24,Sistema,9545590600.0,2020-01-25
25,Sistema,9504753200.0,2020-01-26
26,Sistema,9448366800.0,2020-01-27
27,Sistema,9386247600.0,2020-01-28
28,Sistema,9312355500.0,2020-01-29
29,Sistema,9233215100.0,2020-01-30
30,Sistema,9156605000.0,2020-01-31
31,Sistema,9086834300.0,2020-02-01
32,Sistema,9035375100.0,2020-02-02
33,Sistema,8937872200.0,2020-02-03
34,Sistema,8880113400.0,2020-02-04
35,Sistema,8801760900.0,2020-02-05
36,Sistema,8721198600.0,2020-02-06
37,Sistema,8634660600.0,2020-02-07
38,Sistema,8551249700.0,2020-02-08
39,Sistema,8504963700.0,2020-02-09
40,Sistema,8413781700.0,2020-02-10
41,Sistema,8321985900.0,2020-02-11
42,Sistema,8229162000.0,2020-02-12
43,Sistema,8137546600.0,2020-02-13
44,Sistema,8053344400.0,2020-02-14
45,Sistema,8011205000.0,2020-02-15
46,Sistema,7965994600.0,2020-02-16
47,Sistema,7901782500.0,2020-02-17
48,Sistema,7798549400.0,2020-02-18
49,Sistema,7696262900.0,2020-02-19
50,Sistema,7621493100.0,2020-02-20
51,Sistema,7570327500.0,2020-02-21
52,Sistema,7559418200.0,2020-02-22
53,Sistema,7571818100.0,2020-02-23
54,Sistema,7559320100.0,2020-02-24
55,Sistema,7549110700.0,2020-02-25
56,Sistema,7531368600.0,2020-02-26
57,Sistema,7481056700.0,2020-02-27
58,Sistema,7403347300.0,2020-02-28
59,Sistema,7340691400.0,2020-02-29
60,Sistema,7306073600.0,2020-03-01
61,Sistema,7247900200.0,2020-03-02
62,Sistema,7190657700.0,2020-03-03
63,Sistema,7134906800.0,2020-03-04
64,Sistema,7050169100.0,2020-03-05
65,Sistema,6972296100.0,2020-03-06
66,Sistema,6921633500.0,2020-03-07
67,Sistema,6879651400.0,2020-03-08
68,Sistema,6823697000.0,2020-03-09
69,Sistema,6752149000.0,2020-03-10
70,Sistema,6713056900.0,2020-03-11
71,Sistema,6664465900.0,2020-03-12
72,Sistema,6625218100.0,2020-03-13
73,Sistema,6615865200.0,2020-03-14
74,Sistema,6602628700.0,2020-03-15
75,Sistema,6554337200.0,2020-03-16
76,Sistema,6509283100.0,2020-03-17
77,Sistema,6458166300.0,2020-03-18
78,Sistema,6402269900.0,2020-03-19
79,Sistema,6364029600.0,2020-03-20
80,Sistema,6313646700.0,2020-03-21
81,Sistema,6275856000.0,2020-03-22
82,Sistema,6210783500.0,2020-03-23
83,Sistema,6153406200.0,2020-03-24
84,Sistema,6108396500.0,2020-03-25
85,Sistema,6064013500.0,2020-03-26
86,Sistema,6006924000.0,2020-03-27
87,Sistema,5957191400.0,2020-03-28
88,Sistema,5903641500.0,2020-03-29
89,Sistema,5871789700.0,2020-03-30
90,Sistema,5858469200.0,2020-03-31
91,Sistema,5901694400.0,2020-04-01
92,Sistema,5882725500.0,2020-04-02
93,Sistema,5862409900.0,2020-04-03
94,Sistema,5846609200.0,2020-04-04
95,Sistema,5827244600.0,2020-04-05
96,Sistema,5781532700.0,2020-04-06
97,Sistema,5800484600.0,2020-04-07
98,Sistema,5775718400.0,2020-04-08
