,Cantidad de energía demandada GWh,Cantidad de energía adjudicada GWh,Precio promedio ponderado adjudicado ($/KWh),trms,dias_contrato,dias_antes_inicio,nivel_embalse,ipp,productos,descripcion,cluster
0,53.72,50.07,318.5,4779.06,1459,-333,10618748200.0,153.41,CP-EMPC2022-002-PROD02,CONVOCATORIA PUBLICA PARA EL PERIODO COMPRENDIDO ENTRE EL 01 DE FEBRERO DE 2023 HASTA EL 31 DE DICIEMBRE DE 2026,-1
1,115.0,108.75,276.14,4994.61,1459,-119,15383039200.0,174.57,CP-GNCC2022-003-PROD01,VATIA S.A E.S.P. -VATIA- está interesada en recibir ofertas para la contratación del suministro de energía eléctrica con destino a atender la demanda del mercado regulado en el periodo comprendido desde las 00:00 horas de la fecha de registro hasta las 24:00 del día 31 de diciembre de 2026.,0
2,235.6,235.6,281.9,4994.61,1459,-119,15383039200.0,174.57,CP-GNCC2022-003-PROD02,VATIA S.A E.S.P. -VATIA- está interesada en recibir ofertas para la contratación del suministro de energía eléctrica con destino a atender la demanda del mercado regulado en el periodo comprendido desde las 00:00 horas de la fecha de registro hasta las 24:00 del día 31 de diciembre de 2026.,0
3,17.57,17.57,288.96,4914.71,4016,13,14697942000.0,170.9,CP-TENC2022-003-PROD02,"TRANSACCIONES ENERGETICAS S.A.S. ESP, invita a los interesados a presentar oferta mercantil para el suministro de energía entre el 1 de febrero de 2023 y el 31 de diciembre de 2033, para atender su mercado regulado",0
4,17.57,17.57,288.96,4365.32,4016,13,14697942000.0,170.9,CP-TENC2022-003-PROD02,"TRANSACCIONES ENERGETICAS S.A.S. ESP, invita a los interesados a presentar oferta mercantil para el suministro de energía entre el 1 de febrero de 2023 y el 31 de diciembre de 2033, para atender su mercado regulado",0
5,67.22,44.8,251.97,4914.71,4016,13,14697942000.0,170.9,CP-TENC2022-003-PROD03,"TRANSACCIONES ENERGETICAS S.A.S. ESP, invita a los interesados a presentar oferta mercantil para el suministro de energía entre el 1 de febrero de 2023 y el 31 de diciembre de 2033, para atender su mercado regulado",0
6,67.22,44.8,251.97,4365.32,4016,13,14697942000.0,170.9,CP-TENC2022-003-PROD03,"TRANSACCIONES ENERGETICAS S.A.S. ESP, invita a los interesados a presentar oferta mercantil para el suministro de energía entre el 1 de febrero de 2023 y el 31 de diciembre de 2033, para atender su mercado regulado",0
7,775.0,695.78,262.99,4590.54,5842,21,12763892200.0,147.55,CP-BIAC2022-002-PROD01,"BIA ENERGY S.A.S. ESP., está interesada en recibir ofertas para la compra de energía eléctrica para el período comprendido entre el 01 de febrero del año 2023 al 31 de diciembre del año 2038, con el objetivo de abastecer la demanda comercial de energía de su Mercado Regulado.",0
8,775.0,695.78,262.99,4898.74,5842,21,12763892200.0,147.55,CP-BIAC2022-002-PROD01,"BIA ENERGY S.A.S. ESP., está interesada en recibir ofertas para la compra de energía eléctrica para el período comprendido entre el 01 de febrero del año 2023 al 31 de diciembre del año 2038, con el objetivo de abastecer la demanda comercial de energía de su Mercado Regulado.",0
9,30.86,2.38,314.63,4948.14,364,173,15081975900.0,170.9,CP-EEPC2022-003-PROD01,"EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP., está interesada en recibir ofertas para la venta o suministro de energía eléctrica para el período comprendido entre el 01 de enero del año 2023 al 31 de diciembre del año 2023, con el objetivo de abastecer la demanda comercial de energía de su Mercado Regulado.",-1
